t,x,tf,ts
0.14410312,0.19,0.99968624,0.99980307
0.45708126,0.688,1.0011348,1.0007085
0.56865937,0.893,1.0012105,1.0002766
0.9042063,0.206,3.399176,3.0095448
0.2602875,0.045,1.7554233,1.0366155
0.91055626,0.588,1.9499223,1.6756771
0.58045936,0.879,1.0023171,1.0007832
0.25195,0.495,1.0000557,1.0001807
0.77905,0.903,1.0636406,1.0367893
0.38664374,0.693,0.9999167,1.000174
0.87009686,0.646,1.658685,1.4413214
0.052496877,0.77,1.0001695,1.0000349
0.023896875,0.262,1.0002638,1.0000544
0.95607185,0.567,2.135543,1.8393141
0.68219376,0.386,2.1377676,1.7552413
0.30955625,0.546,1.00003,1.0000684
0.46715313,0.279,1.8339131,1.4108185
0.4945906,0.971,0.9999988,0.999868
0.22500312,0.913,1.0002246,1.0002625
0.03591875,0.811,1.0001845,0.9999728
0.48319688,0.196,2.517263,1.8234503
0.6902437,0.695,1.1682069,1.09165
0.44315624,0.02,3.8341222,2.2989504
0.3841,0.708,0.9998965,1.0001473
0.44604063,0.139,2.8202221,1.9083527
0.12538438,0.589,1.000165,1.0001713
0.74691874,0.103,3.6083288,3.0370364
0.26675624,0.447,1.0000494,1.0000293
0.41478124,0.298,1.4141984,1.1714429
0.7092094,0.138,3.4218748,2.844643
0.6320094,0.392,1.9359015,1.5824816
0.1558,0.01,0.99955964,0.9996462
0.71251565,0.504,1.7217057,1.4576129
0.09795625,0.945,1.0002937,1.0000333
0.11436875,0.223,0.9998913,0.99996865
0.31944376,0.983,1.0001794,1.0002425
0.47967812,0.585,1.0225061,1.010603
0.89074063,0.713,1.5155916,1.3389814
0.6482281,0.286,2.5455194,2.0533495
0.34482813,0.663,0.99991155,1.0001155
0.94904375,0.381,2.832718,2.4710093
0.10993125,0.32,1.000026,1.0000602
0.8248625,0.017,3.9456213,3.3150673
0.94948125,0.869,1.2935812,1.1946486
0.546725,0.948,1.000092,0.999766
0.7048,0.698,1.1868875,1.1034125
0.22241563,0.005,1.0034962,0.9997567
0.16214688,0.379,0.9999759,0.9999939
0.79780936,0.771,1.2198591,1.1293924
0.27048126,0.949,1.0002184,1.0002775
0.66192186,0.372,2.13908,1.7460372
0.87855935,0.125,3.6357484,3.2076511
0.88411564,0.499,2.2193122,1.8935578
0.30265313,0.238,1.028744,1.0068982
0.15735,0.591,1.0002165,1.0001721
0.23801562,0.281,0.99982953,0.99990606
0.82769686,0.41,2.4458616,2.0712337
0.16788438,0.301,0.99983966,0.9998973
0.6796687,0.9,1.0166192,1.0082983
0.66630936,0.251,2.7851257,2.2649217
0.55574685,0.855,1.0016527,1.0005271
0.031365626,0.416,1.0001092,1.0001471
0.9491,0.969,1.1749725,1.1269606
0.10648125,0.952,1.0002903,1.0000517
0.46907812,0.25,2.0420957,1.5264786
0.6698125,0.427,1.9044764,1.5758667
0.9013375,0.717,1.5276299,1.3490447
0.74015,0.84,1.0745815,1.03992
